,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
12118,Port Melbourne,403/99 Nott St,1,u,455500.0,S,hockingstuart,24/09/2016,3.8,3207.0,1.0,1.0,1.0,0.0,,2002.0,Melbourne,-37.8405,144.9385,Southern Metropolitan,8648.0
12119,Prahran,19 Packington Pl,2,h,1055000.0,S,Biggin,10/12/2016,4.5,3181.0,2.0,1.0,0.0,203.0,85.0,1900.0,Stonnington,-37.8557,145.0053,Southern Metropolitan,7717.0
12120,Malvern,22 Milton Pde,3,h,2415000.0,S,Jellis,15/10/2016,7.4,3144.0,3.0,1.0,3.0,696.0,128.0,1910.0,Stonnington,-37.8462,145.0386,Southern Metropolitan,4675.0
12121,Keilor Park,44 Erebus St,4,t,746000.0,S,Barry,22/05/2016,14.5,3042.0,4.0,3.0,1.0,308.0,174.0,1970.0,Brimbank,-37.7231,144.8602,Western Metropolitan,1119.0
12122,Mitcham,9 Davison St,3,h,1071000.0,S,Noel,12/08/2017,17.2,3132.0,3.0,1.0,2.0,684.0,,,Whitehorse,-37.82771,145.20763,Eastern Metropolitan,6871.0
12123,South Melbourne,203/196 Albert Rd,2,u,1050000.0,VB,Marshall,17/09/2016,2.1,3205.0,2.0,2.0,2.0,0.0,122.0,2001.0,Port Phillip,-37.8372,144.9672,Southern Metropolitan,5943.0
12124,Brunswick East,123 Barkly St,4,h,1280000.0,S,Nelson,10/12/2016,4.5,3057.0,4.0,2.0,0.0,161.0,,,Moreland,-37.7772,144.9723,Northern Metropolitan,5533.0
12125,Keilor,71 Church St,4,h,1125000.0,PI,Daniel,26/08/2017,14.5,3036.0,4.0,2.0,4.0,556.0,250.0,1978.0,,-37.72026,144.83143,Western Metropolitan,2339.0
12126,Ormond,3/16 Wheeler St,3,u,932000.0,S,Woodards,15/10/2016,11.8,3204.0,3.0,2.0,1.0,180.0,92.0,1997.0,Glen Eira,-37.9069,145.041,Southern Metropolitan,3578.0
12127,Preston,41 Kathleen St,3,h,843000.0,SP,Ray,10/09/2016,8.8,3072.0,3.0,1.0,1.0,537.0,,,Darebin,-37.737,145.0227,Northern Metropolitan,14577.0
12128,Reservoir,66 Elinda Pl,2,h,380000.0,S,Alexkarbon,8/10/2016,11.2,3073.0,2.0,1.0,1.0,159.0,,1990.0,Darebin,-37.6998,145.0248,Northern Metropolitan,21650.0
12129,Brunswick,8/55 De Carle St,2,u,428000.0,S,Brad,3/09/2016,5.2,3056.0,2.0,1.0,2.0,0.0,,1970.0,Moreland,-37.7593,144.9652,Northern Metropolitan,11918.0
12130,Reservoir,1 Cameron St,3,h,861000.0,S,Stockdale,3/09/2017,12.0,3073.0,3.0,2.0,3.0,488.0,135.0,1950.0,,-37.72747,145.00035,Northern Metropolitan,21650.0
12131,Oakleigh South,19 Murumba Dr,3,h,1150000.0,S,Woodards,8/07/2017,15.5,3167.0,3.0,1.0,2.0,509.0,,,Monash,-37.9237,145.09211000000005,South-Eastern Metropolitan,3692.0
12132,Ashwood,10 Maroondah Rd,4,h,1270000.0,SP,Buxton,8/10/2016,12.2,3147.0,4.0,2.0,1.0,724.0,,,Monash,-37.8651,145.1109,Southern Metropolitan,2894.0
12133,Carnegie,5/102 Oakleigh Rd,2,u,450000.0,S,Anderson,27/06/2016,11.4,3163.0,2.0,1.0,1.0,0.0,72.0,1970.0,Glen Eira,-37.8999,145.0575,Southern Metropolitan,7822.0
12134,West Footscray,171 Essex St,3,h,879000.0,SP,Jas,23/09/2017,6.4,3012.0,3.0,1.0,2.0,377.0,,,,-37.79285,144.86969,Western Metropolitan,5058.0
12135,Bentleigh,15 Luckins Rd,3,h,1400000.0,SP,Buxton,15/10/2016,13.0,3204.0,3.0,2.0,1.0,699.0,,,Glen Eira,-37.9316,145.0454,Southern Metropolitan,6795.0
12136,Wollert,60 Saltlake Bvd,3,h,525300.0,S,Stockdale,29/07/2017,25.5,3750.0,3.0,2.0,2.0,400.0,,,Whittlesea,-37.61387,145.0385,Northern Metropolitan,2940.0
12137,Cheltenham,53 Wingrove St,4,h,1160000.0,S,O'Brien,23/09/2017,17.9,3192.0,4.0,2.0,2.0,585.0,,,,-37.95272,145.06573,Southern Metropolitan,9758.0
12138,Brunswick East,7/2 Albion St,2,u,570000.0,S,McGrath,3/06/2017,4.0,3057.0,2.0,1.0,1.0,0.0,,1980.0,Moreland,-37.7631,144.98138,Northern Metropolitan,5533.0
12139,St Kilda,2/63 Carlisle St,2,u,465000.0,S,Marshall,4/06/2016,6.1,3182.0,2.0,1.0,1.0,0.0,,1960.0,Port Phillip,-37.8676,144.9834,Southern Metropolitan,13240.0
12140,Albert Park,2 Boyd St,2,h,2905000.0,S,RT,3/06/2017,3.0,3206.0,2.0,1.0,1.0,254.0,,,Port Phillip,-37.84583,144.95658,Southern Metropolitan,3280.0
12141,Brunswick,369 Barkly St,2,h,1315000.0,S,Nelson,3/06/2017,5.2,3056.0,2.0,1.0,1.0,234.0,106.0,1910.0,Moreland,-37.77539,144.95576,Northern Metropolitan,11918.0
12142,Moorabbin,7 Barbara St,3,h,1090000.0,SP,Woodards,3/12/2016,14.6,3189.0,3.0,2.0,2.0,784.0,160.0,1960.0,Kingston,-37.9368,145.0568,Southern Metropolitan,2555.0
12143,Moonee Ponds,79 Ormond Rd,2,h,940000.0,S,Brad,8/04/2017,6.9,3039.0,2.0,1.0,2.0,428.0,,,Moonee Valley,-37.773,144.9332,Western Metropolitan,6232.0
12144,Hadfield,1 Mikado St,3,h,870000.0,S,Stockdale,27/05/2017,11.2,3046.0,3.0,1.0,6.0,700.0,,,Moreland,-37.70569,144.94048,Northern Metropolitan,2606.0
12145,Brighton,5 Blairgowrie Ct,3,h,3025000.0,PI,Biggin,22/04/2017,11.2,3186.0,3.0,2.0,4.0,649.0,195.0,1967.0,Bayside,-37.9056,144.9893,Southern Metropolitan,10579.0
12146,Pascoe Vale,24 Eddie St,5,h,1345000.0,S,Brad,8/10/2016,9.9,3044.0,5.0,2.0,5.0,759.0,,,Moreland,-37.7296,144.9362,Northern Metropolitan,7485.0
12147,Glen Waverley,53 Campbell St,3,h,3056000.0,PI,VICProp,17/06/2017,16.7,3150.0,4.0,2.0,2.0,1590.0,292.0,1992.0,Monash,-37.86957,145.17543999999995,Eastern Metropolitan,15321.0
12148,Malvern East,1/14 Durward Rd,4,t,1240000.0,PI,Jellis,18/03/2017,11.2,3145.0,4.0,2.0,2.0,310.0,180.0,1990.0,Stonnington,-37.8822,145.0837,Southern Metropolitan,8801.0
12149,Heidelberg,2/56 Banksia St,2,t,595000.0,SP,Miles,17/09/2016,10.6,3084.0,2.0,1.0,1.0,88.0,,,Banyule,-37.7587,145.0629,Eastern Metropolitan,2890.0
12150,Aspendale,31 Mill St,4,h,1150000.0,PI,Buxton,27/05/2017,21.5,3195.0,4.0,2.0,2.0,599.0,,,Kingston,-38.01468,145.09788999999995,South-Eastern Metropolitan,2824.0
12151,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0
12152,Epping,12 Cabot Dr,3,h,500000.0,S,Harcourts,27/05/2017,19.6,3076.0,3.0,2.0,2.0,553.0,117.0,1975.0,Whittlesea,-37.64463,145.04155,Northern Metropolitan,10926.0
12153,Coburg,44 Saunders St,3,h,1600000.0,S,Raine,3/06/2017,6.7,3058.0,3.0,2.0,2.0,737.0,169.0,1930.0,Moreland,-37.75107,144.95112,Northern Metropolitan,11204.0
12154,Sunshine North,18 Simpson St,4,h,736000.0,S,Barry,12/11/2016,13.3,3020.0,4.0,1.0,2.0,615.0,133.0,1955.0,Brimbank,-37.7675,144.8414,Western Metropolitan,4217.0
12155,Preston,1 George St,3,h,735000.0,S,hockingstuart,8/10/2016,8.8,3072.0,3.0,1.0,2.0,369.0,94.0,1950.0,Darebin,-37.7359,144.985,Northern Metropolitan,14577.0
12156,Hawthorn East,1/1 Clifton Rd,3,u,935000.0,PI,Noel,10/12/2016,7.5,3123.0,3.0,2.0,1.0,144.0,107.0,1975.0,Boroondara,-37.8435,145.0497,Southern Metropolitan,6482.0
12157,Bentleigh,2/1 Marion St,2,u,760000.0,S,Buxton,30/07/2016,13.0,3204.0,2.0,1.0,1.0,192.0,,,Glen Eira,-37.9193,145.0484,Southern Metropolitan,6795.0
12158,Pascoe Vale,14 Oakbank Gr,3,h,940000.0,S,Brad,12/08/2017,8.5,3044.0,3.0,1.0,2.0,587.0,,,Moreland,-37.73112,144.94418000000005,Northern Metropolitan,7485.0
12159,Footscray,202/51 Gordon St,1,u,85000.0,PI,Burnham,3/09/2016,6.4,3011.0,1.0,1.0,0.0,0.0,,2007.0,Maribyrnong,-37.7911,144.89,Western Metropolitan,7570.0
12160,Fitzroy North,373 Rae St,3,h,1181000.0,S,Nelson,10/12/2016,3.5,3068.0,2.0,1.0,1.0,148.0,,,Yarra,-37.7835,144.9799,Northern Metropolitan,6244.0
12161,Port Melbourne,58 Station St,1,h,964000.0,S,Cayzer,17/06/2017,3.5,3207.0,1.0,1.0,0.0,85.0,,,Port Phillip,-37.8371,144.93858999999995,Southern Metropolitan,8648.0
12162,South Yarra,40 Fawkner St,3,h,2300000.0,PI,Williams,12/11/2016,3.3,3141.0,3.0,2.0,1.0,350.0,,,Stonnington,-37.8422,144.9884,Southern Metropolitan,14887.0
12163,Moorabbin,51 Clay St,3,h,1008000.0,S,McGrath,27/06/2016,14.6,3189.0,3.0,2.0,1.0,1660.0,160.0,1960.0,Kingston,-37.9354,145.0464,Southern Metropolitan,2555.0
12164,Brighton,1/137 Cole St,2,u,1300000.0,S,hockingstuart,4/03/2017,11.2,3186.0,2.0,2.0,1.0,244.0,,2000.0,Bayside,-37.8954,145.0026,Southern Metropolitan,10579.0
12165,Northcote,120 Westgarth St,4,h,2315000.0,S,Jellis,30/07/2016,5.5,3070.0,3.0,2.0,4.0,750.0,,,Darebin,-37.7825,145.0073,Northern Metropolitan,11364.0
12166,Templestowe Lower,124 Swanston St,3,h,1240000.0,S,Barry,17/06/2017,12.4,3107.0,3.0,2.0,1.0,673.0,150.0,1965.0,Manningham,-37.75965,145.09937,Eastern Metropolitan,5420.0
12167,Brighton,160 Were St,5,h,3250000.0,SP,Hodges,1/07/2017,10.5,3186.0,5.0,3.0,2.0,835.0,,,Bayside,-37.92615,145.00282,Southern Metropolitan,10579.0
12168,Balwyn North,2/37 Aylmer St,3,h,1300000.0,VB,Kay,27/05/2017,9.7,3104.0,3.0,2.0,2.0,975.0,147.0,1985.0,Boroondara,-37.79673,145.06853,Southern Metropolitan,7809.0
12169,Northcote,24 Barry St,3,h,1715000.0,S,Harrington,19/11/2016,5.5,3070.0,3.0,1.0,1.0,407.0,143.0,1900.0,Darebin,-37.7799,144.9937,Northern Metropolitan,11364.0
12170,Princes Hill,78 Arnold St,3,h,1540000.0,S,Collins,12/08/2017,3.5,3054.0,3.0,2.0,1.0,288.0,,,Yarra,-37.78311,144.96548,Northern Metropolitan,1008.0
12171,Northcote,10 Balgonie Pl,2,h,1001000.0,S,Nelson,17/06/2017,5.3,3070.0,2.0,1.0,0.0,166.0,,,Darebin,-37.7702,144.99987,Northern Metropolitan,11364.0
12172,Caroline Springs,25 Coppin La,4,h,870000.0,S,Barry,12/08/2017,14.8,3023.0,4.0,2.0,2.0,463.0,307.0,2012.0,Melton,-37.73531,144.74335,Western Metropolitan,7719.0
12173,Epping,18 Grimwade Ct,3,h,528000.0,S,Ray,27/05/2017,19.6,3076.0,3.0,2.0,1.0,525.0,125.0,,Whittlesea,-37.6507,145.04681000000005,Northern Metropolitan,10926.0
12174,Clifton Hill,7 Turnbull St,4,h,1825000.0,S,Biggin,6/05/2017,3.4,3068.0,4.0,1.0,2.0,306.0,,,Yarra,-37.7888,144.9929,Northern Metropolitan,2954.0
12175,Glenroy,7/56 Golf Links Rd,1,u,362500.0,SP,Brad,27/05/2017,11.2,3046.0,1.0,1.0,1.0,124.0,75.0,1980.0,Moreland,-37.70917,144.92291,Northern Metropolitan,8870.0
12176,Essendon,105 Ogilvie St,4,h,1500000.0,S,Nelson,16/07/2016,8.0,3040.0,4.0,2.0,2.0,858.0,,,Moonee Valley,-37.7442,144.8934,Western Metropolitan,9264.0
12177,Hoppers Crossing,27 Cameron Dr,3,h,535000.0,S,hockingstuart,17/06/2017,18.4,3029.0,3.0,1.0,2.0,603.0,,,Wyndham,-37.8688,144.68768,Western Metropolitan,13830.0
12178,Middle Park,2 Patterson St,3,h,1850000.0,PI,Cayzer,3/06/2017,3.0,3206.0,3.0,2.0,1.0,321.0,,,Port Phillip,-37.85411,144.96409,Southern Metropolitan,2019.0
12179,Kensington,9/80 Hobsons Rd,3,t,855000.0,S,Nelson,3/06/2017,3.4,3031.0,3.0,2.0,1.0,68.0,,,Melbourne,-37.79554,144.91679,Northern Metropolitan,5263.0
12180,Keilor East,17 Janet St,3,h,912000.0,S,Nelson,20/05/2017,12.8,3033.0,3.0,1.0,3.0,660.0,,,Moonee Valley,-37.7466,144.8707,Western Metropolitan,5629.0
12181,Rosanna,1/249 Lower Plenty Rd,3,h,720000.0,SP,hockingstuart,13/08/2016,11.4,3084.0,3.0,1.0,2.0,604.0,,,Banyule,-37.7377,145.0737,Eastern Metropolitan,3540.0
12182,Richmond,28 Newry St,3,h,1280000.0,S,Biggin,27/05/2017,2.4,3121.0,3.0,1.0,1.0,185.0,,,Yarra,-37.82488,145.00642,Northern Metropolitan,14949.0
12183,Hillside,22 Hillcrest Dr,6,h,935000.0,S,Prof.,17/06/2017,18.0,3037.0,6.0,4.0,2.0,694.0,,,Melton,-37.68178,144.73779,Western Metropolitan,5556.0
12184,Fairfield,20/262 Heidelberg Rd,2,u,602000.0,S,Jellis,7/11/2016,5.8,3078.0,2.0,1.0,1.0,0.0,77.0,2013.0,Yarra,-37.7845,145.0105,Northern Metropolitan,2970.0
12185,Hawthorn,22/9 Lisson Gr,1,u,445000.0,S,Biggin,19/11/2016,4.6,3122.0,1.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8261,145.0269,Southern Metropolitan,11308.0
12186,Caroline Springs,5/1 Dargi Grn,3,t,360000.0,SA,O'Brien,8/07/2017,14.8,3023.0,3.0,1.0,1.0,0.0,136.49,2009.0,Melton,-37.70624,144.74042,Western Metropolitan,7719.0
12187,Nunawading,66 Springvale Rd,5,h,1060000.0,SP,hockingstuart,17/06/2017,15.4,3131.0,5.0,3.0,2.0,766.0,274.0,1970.0,Whitehorse,-37.81113,145.17681000000005,Eastern Metropolitan,4973.0
12188,South Morang,35 Cobblestone Dr,3,h,690000.0,S,Harcourts,8/07/2017,20.5,3752.0,3.0,2.0,2.0,545.0,196.0,2005.0,Whittlesea,-37.64426,145.1,Northern Metropolitan,7969.0
12189,Hawthorn,7/21 Elphin Gr,1,u,330000.0,PI,RT,7/05/2016,4.6,3122.0,1.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8177,145.0424,Southern Metropolitan,11308.0
12190,Murrumbeena,47A Rosella St,4,t,1200000.0,PI,Buxton,27/11/2016,12.1,3163.0,4.0,3.0,2.0,297.0,,,Glen Eira,-37.895,145.0749,Southern Metropolitan,4442.0
12191,Northcote,26 Salisbury Gr,4,h,1900000.0,PI,Jellis,1/07/2017,5.3,3070.0,4.0,2.0,2.0,313.0,,,Darebin,-37.76501,145.00269,Northern Metropolitan,11364.0
12192,Gowanbrae,3 Birk Ct,3,h,680000.0,S,Nelson,8/04/2017,13.6,3043.0,3.0,2.0,1.0,277.0,168.0,2010.0,Moreland,-37.7039,144.8986,Western Metropolitan,1071.0
12193,Greensborough,54 Warralong Av,3,h,896000.0,S,Fletchers,15/07/2017,16.1,3088.0,3.0,2.0,1.0,653.0,130.0,1970.0,Banyule,-37.71846,145.09689,Northern Metropolitan,8524.0
12194,Essendon North,4/17 Bulla Rd,1,u,260000.0,S,Brad,10/09/2016,9.4,3041.0,1.0,1.0,1.0,0.0,,,Moonee Valley,-37.7428,144.9086,Western Metropolitan,1308.0
12195,Murrumbeena,4/178 Murrumbeena Rd,3,t,785000.0,S,Buxton,13/08/2016,12.1,3163.0,3.0,2.0,2.0,0.0,,2009.0,Glen Eira,-37.8969,145.0654,Southern Metropolitan,4442.0
12196,Hampton,15 May St,4,h,1820000.0,PI,Follett,16/09/2017,13.8,3188.0,4.0,2.0,2.0,412.0,423.0,1940.0,,-37.93598,145.01152,Southern Metropolitan,5454.0
12197,Templestowe Lower,8 Esther St,3,t,950000.0,VB,hockingstuart,8/04/2017,13.8,3107.0,3.0,2.0,2.0,306.0,,,Manningham,-37.7658,145.1014,Eastern Metropolitan,5420.0
12198,Kew,48 Malin St,4,h,2600000.0,S,Marshall,13/05/2017,5.6,3101.0,4.0,2.0,0.0,320.0,186.36,1920.0,Boroondara,-37.8127,145.0451,Southern Metropolitan,10331.0
12199,Albion,13 Maylands St,3,h,685000.0,S,Barry,18/03/2017,13.9,3020.0,3.0,1.0,1.0,697.0,,,Brimbank,-37.7765,144.8175,Western Metropolitan,2185.0
12200,Reservoir,72 Henty St,4,h,1150000.0,S,Barry,13/05/2017,11.2,3073.0,4.0,1.0,2.0,928.0,,,Darebin,-37.7179,144.9908,Northern Metropolitan,21650.0
12201,Werribee,3 Gavan Ct,3,h,570000.0,S,S&L,15/07/2017,14.7,3030.0,3.0,1.0,3.0,909.0,,1965.0,Wyndham,-37.89074,144.65677,Western Metropolitan,16166.0
12202,Chirnside Park,54 Meadowgate Dr,3,h,640000.0,SP,Barry,12/08/2017,27.1,3116.0,3.0,2.0,2.0,945.0,,,Yarra Ranges,-37.75735,145.31859,Eastern Victoria,3789.0
12203,Croydon North,6 Baringa Rd,4,h,835000.0,SP,Fletchers,27/05/2017,23.0,3136.0,4.0,1.0,2.0,1717.0,153.0,1950.0,Maroondah,-37.77595,145.28383,Eastern Metropolitan,2985.0
12204,Eaglemont,61 Glenard Dr,4,h,2050000.0,S,Miles,15/10/2016,10.3,3084.0,4.0,3.0,2.0,723.0,290.0,1950.0,Banyule,-37.7615,145.0705,Eastern Metropolitan,1651.0
12205,Hawthorn,18 Belgrave St,3,h,1750000.0,PI,Jellis,24/06/2017,5.3,3122.0,3.0,2.0,0.0,234.0,,,Boroondara,-37.82839,145.04086,Southern Metropolitan,11308.0
12206,Ivanhoe,8/1088 Heidelberg Rd,2,h,690000.0,VB,Miles,13/05/2017,7.9,3079.0,2.0,1.0,1.0,1465.0,,,Banyule,-37.7735,145.0403,Eastern Metropolitan,5549.0
12207,Yarraville,122 Stephen St,1,u,510000.0,SP,hockingstuart,11/02/2017,7.0,3013.0,1.0,1.0,2.0,0.0,83.0,2004.0,Maribyrnong,-37.8173,144.894,Western Metropolitan,6543.0
12208,Brighton,2 Gatehouse Pl,2,t,1400000.0,S,RT,28/08/2016,11.2,3186.0,2.0,2.0,1.0,267.0,,,Bayside,-37.9159,144.9933,Southern Metropolitan,10579.0
12209,South Yarra,6/2 May Gr,1,u,490000.0,S,RT,10/12/2016,3.3,3141.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8425,145.0009,Southern Metropolitan,14887.0
12210,Richmond,29 Gipps St,3,h,1400000.0,VB,Nelson,8/04/2017,2.6,3121.0,3.0,2.0,0.0,848.0,,,Yarra,-37.8235,144.9963,Northern Metropolitan,14949.0
12211,Altona Meadows,96 Linden St,3,h,590000.0,PI,hockingstuart,3/09/2017,15.5,3028.0,3.0,1.0,2.0,459.0,,,,-37.87063,144.77632,Western Metropolitan,7630.0
12212,Fawkner,15 Dowding Cl,3,h,480000.0,S,Nelson,28/05/2016,12.4,3060.0,3.0,2.0,2.0,305.0,,,Moreland,-37.6972,144.9634,Northern Metropolitan,5070.0
12213,Box Hill,19 Wavell St,3,h,1412000.0,S,Noel,12/11/2016,13.1,3128.0,3.0,1.0,1.0,590.0,,,Whitehorse,-37.8274,145.1274,Eastern Metropolitan,4605.0
12214,Glen Iris,56 Gardiner Pde,5,h,2175000.0,S,Fletchers,4/06/2016,9.2,3146.0,5.0,3.0,4.0,619.0,327.0,2003.0,Boroondara,-37.8554,145.0611,Southern Metropolitan,10412.0
12215,Coburg,41 Service St,3,h,1130000.0,SP,Re,12/11/2016,7.8,3058.0,3.0,1.0,2.0,735.0,127.0,1920.0,Moreland,-37.7379,144.9623,Northern Metropolitan,11204.0
12216,Richmond,305/28 Burnley St,1,u,327000.0,S,Biggin,7/11/2016,2.6,3121.0,1.0,1.0,1.0,0.0,43.0,2012.0,Yarra,-37.8127,145.0094,Northern Metropolitan,14949.0
12217,Essendon North,2/10 Oshannassy St,2,u,393000.0,S,Brad,6/08/2016,9.4,3041.0,2.0,1.0,1.0,999.0,,1970.0,Moonee Valley,-37.7396,144.90200000000004,Western Metropolitan,1308.0
12218,Prahran,79 Chomley St,3,h,1358000.0,S,Jellis,10/09/2016,4.5,3181.0,2.0,1.0,1.0,189.0,,,Stonnington,-37.8561,145.0056,Southern Metropolitan,7717.0
12219,Brighton,5 Davie La,2,h,502000.0,S,Hodges,8/10/2016,11.2,3186.0,2.0,2.0,0.0,116.0,,,Bayside,-37.9252,145.0004,Southern Metropolitan,10579.0
12220,Blackburn North,33 Charlton St,4,t,990000.0,SP,Noel,3/06/2017,13.4,3130.0,4.0,2.0,1.0,296.0,,1950.0,Whitehorse,-37.8054,145.15701,Eastern Metropolitan,2867.0
12221,Richmond,29 Bowen St,3,h,2180000.0,PI,Blue,3/12/2016,2.6,3121.0,3.0,2.0,2.0,345.0,,,Yarra,-37.8159,144.994,Northern Metropolitan,14949.0
12222,Elwood,4 Kendall St,4,h,3175000.0,S,Marshall,12/08/2017,7.2,3184.0,4.0,2.0,3.0,558.0,174.0,1900.0,Port Phillip,-37.88014,144.99347,Southern Metropolitan,8989.0
12223,Fitzroy North,264 Barkly St,3,h,1600000.0,S,Collins,25/02/2017,3.5,3068.0,3.0,1.0,0.0,370.0,,,Yarra,-37.7794,144.9892,Northern Metropolitan,6244.0
12224,Brighton,10 Whyte St,4,h,2385000.0,PI,C21,27/05/2017,10.5,3186.0,4.0,3.0,2.0,373.0,,,Bayside,-37.92465,144.9992,Southern Metropolitan,10579.0
12225,Hawthorn,28/168 Power St,1,u,360000.0,PI,Woodards,8/04/2017,4.6,3122.0,1.0,1.0,1.0,6494.0,77.5,1965.0,Boroondara,-37.8254,145.0255,Southern Metropolitan,11308.0
12226,Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,3/09/2016,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836.0
12227,Richmond,29 Westbank Tce,3,h,1850000.0,S,hockingstuart,22/08/2016,2.6,3121.0,2.0,2.0,1.0,203.0,112.0,1900.0,Yarra,-37.8214,145.0132,Northern Metropolitan,14949.0
12228,Ashburton,9 Pitt St,4,h,1950000.0,S,Tim,28/05/2016,11.0,3147.0,4.0,2.0,2.0,844.0,278.0,1940.0,Boroondara,-37.8715,145.0688,Southern Metropolitan,3052.0
12229,Moorabbin,2/1 Perry St,3,t,785000.0,S,Ray,16/04/2016,14.6,3189.0,3.0,2.0,2.0,169.0,,,Kingston,-37.9385,145.0397,Southern Metropolitan,2555.0
12230,Kealba,128 Driscolls Rd,3,h,582000.0,SP,Brad,16/07/2016,15.0,3021.0,3.0,2.0,4.0,530.0,186.0,1980.0,Brimbank,-37.7375,144.8282,Western Metropolitan,1202.0
12231,Carlton,176 Cardigan St,4,h,1630100.0,S,Ascend,14/05/2016,1.8,3053.0,4.0,2.0,0.0,132.0,195.0,1890.0,Melbourne,-37.801,144.9656,Northern Metropolitan,6786.0
12232,Vermont,2/557 Canterbury Rd,4,t,975000.0,S,Harcourts,3/06/2017,17.2,3133.0,4.0,2.0,2.0,0.0,207.0,2008.0,Whitehorse,-37.83368,145.20408999999995,Eastern Metropolitan,4181.0
12233,Doreen,6 Aria Ct,4,h,555000.0,S,HAR,3/09/2017,25.9,3754.0,4.0,2.0,2.0,387.0,,,,-37.59589,145.11364,Northern Victoria,7254.0
12234,Essendon,27 McPhail St,3,h,1315000.0,S,Barry,29/07/2017,7.5,3040.0,3.0,3.0,1.0,226.0,,,Moonee Valley,-37.75485,144.9119,Western Metropolitan,9264.0
12235,Bentleigh,8 Rose St,4,h,2435000.0,S,Buxton,6/08/2016,13.0,3204.0,3.0,2.0,2.0,795.0,250.0,1928.0,Glen Eira,-37.9166,145.0314,Southern Metropolitan,6795.0
12236,Carlton North,4 Mary St,2,u,520000.0,VB,Nelson,24/09/2016,3.2,3054.0,2.0,1.0,1.0,0.0,86.0,1940.0,Yarra,-37.7813,144.9773,Northern Metropolitan,3106.0
12237,Altona,1/22 Harrington St,3,u,660000.0,S,Barlow,12/08/2017,11.0,3018.0,3.0,1.0,2.0,211.0,,,Hobsons Bay,-37.86473,144.81507,Western Metropolitan,5301.0
12238,South Melbourne,126/69 Dorcas St,3,u,862000.0,S,Greg,10/09/2016,2.1,3205.0,3.0,2.0,2.0,0.0,,2001.0,Port Phillip,-37.8311,144.9679,Southern Metropolitan,5943.0
12239,Port Melbourne,108/40 Beach St,2,u,1110000.0,S,RT,29/04/2017,3.8,3207.0,2.0,2.0,1.0,0.0,,,Port Phillip,-37.8427,144.9378,Southern Metropolitan,8648.0
12240,Wantirna South,14 Riverpark Dr,6,h,1180000.0,S,Ray,24/06/2017,14.7,3152.0,6.0,2.0,2.0,453.0,305.0,2001.0,Knox,-37.87309000000001,145.23078,Eastern Metropolitan,7082.0
12241,Jacana,29 Fox Ct,3,h,620500.0,S,RW,29/07/2017,14.0,3047.0,3.0,1.0,4.0,764.0,,,Hume,-37.68907,144.91459,Northern Metropolitan,851.0
12242,Oak Park,14 Marie St,3,h,892000.0,S,Nelson,3/09/2016,11.5,3046.0,3.0,1.0,3.0,757.0,,,Moreland,-37.718,144.9174,Northern Metropolitan,2651.0
12243,Ascot Vale,120 Epsom Rd,3,h,970000.0,S,Brad,7/05/2016,5.9,3032.0,3.0,1.0,2.0,350.0,125.0,1904.0,Moonee Valley,-37.7759,144.91,Western Metropolitan,6567.0
12244,Viewbank,42 Lyon Rd,4,h,1042500.0,S,Miles,17/09/2016,13.8,3084.0,4.0,2.0,2.0,648.0,,,Banyule,-37.7363,145.0851,Eastern Metropolitan,2698.0
12245,Brighton East,174 South Rd,3,h,1680000.0,SP,Buxton,12/08/2017,10.3,3187.0,3.0,1.0,2.0,605.0,181.0,1920.0,Bayside,-37.93063,145.01314,Southern Metropolitan,6938.0
12246,Sunshine West,22 Bambara Ct,4,h,705000.0,S,Douglas,27/11/2016,13.5,3020.0,4.0,2.0,4.0,759.0,198.0,1975.0,Brimbank,-37.7951,144.8213,Western Metropolitan,6763.0
12247,Prahran,17 Packington Pl,2,h,1365000.0,S,Jellis,26/08/2017,4.6,3181.0,2.0,1.0,,206.0,100.0,1900.0,,-37.85569,145.00522,Southern Metropolitan,7717.0
12248,Brunswick,60 Rose St,3,h,947000.0,S,Woodards,28/05/2016,5.2,3056.0,3.0,1.0,2.0,996.0,,,Moreland,-37.7564,144.9527,Northern Metropolitan,11918.0
12249,Williamstown North,5 Nicosia Ct,3,h,1070000.0,PI,Williams,8/04/2017,8.9,3016.0,3.0,2.0,5.0,442.0,249.0,2003.0,Hobsons Bay,-37.8538,144.8722,Western Metropolitan,802.0
12250,Templestowe Lower,1/6 Union St,2,t,731000.0,S,Jellis,22/07/2017,12.4,3107.0,2.0,1.0,1.0,217.0,115.0,2005.0,Manningham,-37.75671,145.11401,Eastern Metropolitan,5420.0
